sintomas;diagnostico
tremores nas mãos rigidez bradicinesia;doenca_parkinson
dor intensa na barriga enjoo vômito confusão e inapetência;porfiria
esquecimento constante confusão perda de referências com fraqueza;doenca_alzheimer
cansaço dor abdominal tremor problemas no fígado;doenca_wilson
dor abdominal intensa náusea persistente vômito confusão mental com fraqueza;porfiria
cansaço extremo dor articular severa crises dolorosas e mal estar;anemia_falciforme
dor no corpo todo cansaço constante insônia;fibromialgia
cansaço extremo dor articular severa crises dolorosas;anemia_falciforme
cansaço extremo dor articular episódios dolorosos e dor de cabeça;anemia_falciforme
febre dor nos músculos cansaço que nao passa;febre_maculosa
tremores nas extremidades rigidez bradicinesia e dor de cabeça;doenca_parkinson
dor abdominal severa enjoo vômito confusão mental;porfiria
fadiga persistente perda de força diplopia formigamento acompanhado de tontura;esclerose_multipla
fadiga severa obesidade frieza excessiva;hipotireoidismo
dores musculares difusas fadiga severa insônia;fibromialgia
fadiga severa crônica dor no corpo todo problemas de foco;sindrome_fadiga_cronica
dor articular crônica inchaço articular rigidez matinal;artrite_reumatoide
tremor nas mãos rigidez corporal bradicinesia;doenca_parkinson
secura na boca olhos ressecados cansaço dor articular crônica com fraqueza;sindrome_sjogren
sede constante micção frequente emagrecimento rápida;diabetes_tipo1
cansaço severo dor articular crises de dor intensa;anemia_falciforme
tremor nas mãos rigidez instabilidade postural;doenca_parkinson
cólicas abdominais intensas diarréia sanguinolenta;doenca_crohn
sede excessiva micção frequente emagrecimento;diabetes_tipo1
cansaço dor na região abdominal tremor hepatopatia;doenca_wilson
dor abdominal severa náusea vômito confusão mental acompanhado de tontura;porfiria
cansaço severo dor articular intensa dor em crises;anemia_falciforme
febre alta dor no corpo todo cansaço extremo;febre_maculosa
cansaço extremo obesidade progressiva sensação de frio;hipotireoidismo
fadiga constante dor abdominal tremores hepatopatia;doenca_wilson
fadiga severa dor nas juntas dor em episódios;anemia_falciforme
dor articular fadiga crônica sensibilidade ao sol com fraqueza;lupus
dor severa na barriga enjoo vômito persistente confusão;porfiria
dor abdominal severa náusea vômito confusão mental;porfiria
emagrecimento rápido taquicardia ansiedade constante e mal estar;hipertireoidismo
esquecimento confusão perda de noção de tempo e lugar;doenca_alzheimer
dor na região abdominal diarréia frequente fraqueza;doenca_crohn
esquecimento confusão perda de noção de tempo e lugar;doenca_alzheimer
sede excessiva poliúria emagrecimento inexplicável;diabetes_tipo1
cansaço severo dor abdominal tremor disfunção hepática e mal estar;doenca_wilson
cansaço dor abdominal tremor problemas no fígado;doenca_wilson
febre baixa cansaço dor no corpo manchas na pele;doenca_lyme
braços sem força fala difícil atrofia muscular;esclerose_lateral
sede excessiva urina frequente emagrecimento súbito;diabetes_tipo1
juntas doloridas cansaço que não passa manchas na face;lupus
articulações inflamadas dor constante rigidez;artrite_reumatoide
dor articular fadiga crônica sensibilidade ao sol;lupus
perda de força cansaço diplopia problemas de deglutição;miastenia_gravis
dor severa na barriga enjoo vômito frequente alterações cognitivas;porfiria
febre baixa cansaço constante dor no corpo manchas;doenca_lyme
secura oral secura ocular severos fadiga dor nas articulações;sindrome_sjogren
dor nas juntas inchaço articular dificuldade de movimento com fraqueza;artrite_reumatoide
dor nas articulações cansaço extrema problemas de pele;lupus
febre persistente dor muscular generalizada erupção cutânea;febre_maculosa
cansaço severo ganho de peso frio excessivo acompanhado de tontura;hipotireoidismo
cansaço que não alivia dor muscular difusa névoa cerebral;sindrome_fadiga_cronica
dor muscular difusa cansaço severo dificuldades do sono acompanhado de tontura;fibromialgia
fadiga extrema constante dor generalizada dificuldade mental;sindrome_fadiga_cronica
braços fracos problemas na fala contrações musculares;esclerose_lateral
dor nas juntas inchaço articular dificuldade de movimento;artrite_reumatoide
emagrecimento palpitações frequentes nervosismo;hipertireoidismo
perda de força cansaço extremo diplopia dificuldade deglutição;miastenia_gravis
cansaço que não passa dor articular crises álgicas;anemia_falciforme
fadiga crônica coordenação prejudicada visão embaçada;esclerose_multipla
perda de memória progressiva confusão dificuldade de orientacão;doenca_alzheimer
cansaço severo dispneia aos esforços tosse febre;sarcoidose
perda de memória confusão mental desorientação temporal;doenca_alzheimer
dor no corpo todo cansaço constante insônia;fibromialgia
fadiga severa crônica dor no corpo todo problemas de foco e dor de cabeça;sindrome_fadiga_cronica
febre baixa cansaço severo dor no corpo manchas cutâneas e mal estar;doenca_lyme
perda de memória confusão mental desorientação temporal;doenca_alzheimer
fadiga fraqueza nas pernas visão embaçada formigamento;esclerose_multipla
cólicas fortes diarréia com muco emagrecimento e inapetência;doenca_crohn
dor nas articulações inchaço nas juntas rigidez matinal e mal estar;artrite_reumatoide
